,Year,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Indonesian,,-14.98,-74.16823529,-67.58588235,-25.4675,23.38212121,-71.07848485,0.9336363636,62.21545455,74.38470588,48.52277778,-22.01957143,-15.75821918,-14.33277778,-4.993230769,18.73444444,23.69540541,77.25314815,65.77958904,92.5022973,92.96506849,78.83246377,116.9153571,38.79166667,-14.88783784,47.90014286,87.42823529,65.54702703,15.32,80.47189189,140.9475676,166.309589,82.24,82.68571429
Mediterranean,,14.81,-30.26058824,-13.21058824,-10.1775,12.68727273,10.46606061,2.605454545,2.869090909,1.768823529,3.590555556,14.72428571,4.260821918,10.79694444,-2.614461538,9.578888889,-0.4518918919,27.56188679,19.14945205,57.275,14.45767123,28.58043478,27.36660714,37.50444444,18.72081081,45.91057143,19.75627451,64.32513514,50.56837838,64.76216216,59.69662162,59.51041096,82.73214286,73.76857143
Nino,,-7.84,-14.94882353,-10.94294118,-9.925483871,-3.804705882,24.97363636,-27.01424242,-19.92939394,-3.510588235,0.3322222222,14.17928571,11.45643836,23.00291667,14.49753846,21.69111111,4.261081081,18.61111111,32.28297297,21.85324324,27.1090411,39.19623188,34.63392857,53.94,77.59945946,45.106,46.27686275,70.62594595,65.27459459,67.58135135,73.02662162,78.72256757,88.49214286,65.41285714
North Atlantic,,-0.89,-17.03117647,-12.29,-1.231935484,-7.051764706,-3.880909091,6.382727273,11.79787879,15.36882353,1.401428571,6.098732394,10.78424658,10.29222222,8.787230769,14.59777778,11.80783784,31.53888889,23.34164384,2.666351351,6.233424658,36.25304348,14.98125,29.39888889,41.6572973,51.33385714,46.96254902,65.91216216,70.70135135,73.28081081,76.83351351,84.38808219,84.75428571,63.12571429
North Pacific,,0.46,-14.31352941,-2.119411765,-11.01419355,-10.16647059,-3.649090909,-8.243030303,4.775151515,4.524705882,6.91,15.66214286,8.108356164,12.15486111,4.014307692,10.01944444,9.339189189,26.83851852,31.23041096,24.19824324,26.86739726,42.68,28.36375,49.77944444,59.64108108,62.92828571,35.82313725,68.48486486,73.18216216,85.0827027,94.49486486,90.50297297,97.24857143,51.51428571
North Sea,,47.79,-13.06294118,-18.90411765,2.899375,-34.89636364,8.661212121,7.300606061,-2.105454545,-8.307058824,5.057142857,10.86535211,39.93369863,17.54194444,11.26830769,18.15444444,40.37351351,19.27320755,7.941506849,0.8784931507,36.34851351,12.47956522,-1.111818182,18.28777778,58.15594595,61.31628571,69.81313725,49.9927027,68.38459459,88.72567568,72.28783784,109.7480822,103.08,132.6842857
Pacific Ocean,,-22.2,-18.48529412,-12.87647059,-10.02580645,-5.076470588,2.475757576,-7.115151515,-6.166666667,0.9852941176,7.261111111,11.36142857,10.04383562,14.64027778,17.38923077,19.13611111,17.64864865,19.83888889,23.8890411,19.7,18.92328767,32.36666667,32.26428571,41.05277778,51.03783784,55.17,53.09411765,58.54594595,63.61621622,64.00837838,68.66716216,68.40364865,77.20071429,63.47142857
Persian Gulf,,103.73,-19.60235294,1.106470588,-1.30125,7.601212121,7.270909091,13.16787879,4.361818182,-14.33764706,-18.47294118,-9.771408451,-12.02619718,5.561527778,-12.09123077,-8.026666667,28.12783784,34.22283019,25.61444444,63.96918919,45.81958904,44.29089552,47.51188679,56.26444444,94.47,64.1784058,56.53576923,51.74891892,102.3327027,126.0469444,132.6241892,97.15797297,96.60785714,32.49
Sea Japan,,-34.66,-30.85411765,-4.630588235,-16.894375,-23.39030303,-6.49030303,4.988484848,22.56727273,11.01941176,4.392777778,16.87714286,20.61479452,34.42277778,-6.471384615,3.514444444,24.66864865,22.94754717,24.43930556,35.61986486,16.83082192,50.66043478,15.25553571,51.17611111,34.07108108,85.55057143,54.3872549,44.48081081,70.31054054,81.96594595,94.8977027,93.13506849,96.94785714,33.42571429
Sea Okhotsk,,-13.64,-23.00764706,-18.14,5.975625,11.43121212,21.83727273,-0.6415151515,-3.899090909,3.742352941,-2.606666667,0.7042857143,1.346164384,8.752222222,5.956769231,-0.9033333333,3.170540541,12.51773585,7.989041096,18.28702703,7.200958904,21.88405797,14.38509091,43.33138889,57.93486486,59.15714286,58.18098039,50.30162162,50.53945946,54.84837838,53.95175676,63.98835616,64.27214286,37.54142857
South China,,-14.28,-40.76823529,-35.68588235,-23.73806452,-12.07411765,-19.62545455,-14.64666667,22.5230303,23.30235294,31.92833333,7.347857143,19.5009589,1.811805556,-20.83984615,16.6,10.28513514,59.04132075,55.67068493,65.76635135,57.3090411,71.74,69.83589286,46.00777778,32.54486486,44.62957143,71.41196078,50.94567568,57.39702703,79.27405405,91.48013514,121.4071622,92.13642857,91.24857143
Southern Ocean,,-19.49,-21.54294118,-17.38117647,-12.07548387,-9.425294118,-0.8006060606,-1.303636364,-0.4763636364,3.048235294,8.754444444,7.040714286,8.941232877,13.85486111,17.66815385,18.93333333,19.90405405,19.66777778,23.53297297,28.85594595,28.68342466,36.16072464,46.04535714,42.83944444,52.28891892,51.88871429,61.10117647,56.55351351,62.40756757,62.72243243,67.67851351,72.06635135,76.21357143,82.92142857
Tropics,,-21.86,-19.28941176,-15.68941176,-9.168064516,-4.180588235,-3.228181818,-3.91,-7.467575758,-2.212941176,4.995555556,6.910714286,12.36739726,12.14763889,16.15384615,19.87055556,19.81837838,25.85481481,29.32040541,30.45013514,27.72424658,38.28710145,38.43196429,42.82888889,51.56027027,55.62314286,55.84254902,57.66783784,65.21648649,67.58918919,72.30472973,74.03986486,79.97785714,71.68285714
World,,-17.02,-19.55529412,-14.85823529,-9.436129032,-5.887647059,-1.880606061,-2.777575758,-3.744242424,0.5270588235,5.863333333,7.768571429,11.13589041,12.77555556,15.03353846,18.43111111,18.61189189,23.92673077,26.34534247,27.71121622,25.97684932,36.8757971,37.69019231,41.72555556,50.46459459,53.92257143,53.94098039,57.70027027,64.09486486,66.81702703,71.50756757,73.79405405,79.68594595,77.23565217
Yellow Sea,,-67.85,-33.09117647,-6.85,-30.00645161,-17.16764706,-5.384848485,13.23636364,14.91515152,12.46764706,25.99714286,16.95774648,18.73287671,21.35138889,-6.030769231,27.49444444,14.36666667,34.45074074,20.32684932,19.52648649,6.94739726,58.51411765,15.20690909,45.56378378,38.11243243,72.98,37.92901961,49.32054054,69.10162162,79.79648649,81.75391892,80.91794521,77.65214286,43.76428571
average of these seas (without world),,3.552083333,-22.42034314,-15.77193627,-5.996375168,-8.140975936,-4.115530303,0.8036616162,2.480429293,6.254289216,5.448716737,5.072298206,10.29511755,11.64773914,7.08425641,9.692962963,18.13690065,31.60893213,25.96121216,31.70849277,31.20671094,44.07485864,35.68733542,42.50619276,56.13440315,63.67140381,55.2045229,57.01809685,63.52570624,81.06342061,82.8875,89.6763994,84.23136905,67.15035714
