,Year,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adriatic Sea,,-4.32,-43.35235294,-14.46117647,-18.40548387,3.912352941,7.342121212,11.2330303,7.281515152,20.41235294,22.53857143,21.03633803,1.876712329,12.84680556,-11.81292308,1.332222222,-6.528888889,1.388888889,24.77652778,63.42608108,26.72561644,19.06275362,41.81377358,60.73810811,41.87054054,40.263,5.0718,67.49459459,48.92857143,49.05567568,43.62324324,40.33589041,67.53857143,77.76142857
Andaman Sea,,-12.13,-11.82117647,-45.07411765,1.073125,13.40787879,-76.14666667,-15.16484848,13.43212121,30.17294118,26.98571429,-10.415,8.108333333,4.563239437,9.074923077,-17.05055556,-1.691621622,66.04962264,36.35068493,67.81527027,41.67671233,66.25768116,75.98472727,46.39611111,46.63837838,118.0804286,48.60254902,59.54837838,9.718648649,86.42055556,128.1164865,120.4056757,32.19142857,20.61571429
Arabian Sea,,3.09,-1.883529412,-1.11,3.7275,-6.663030303,11.39151515,3.44,-28.79636364,-19.84823529,-22.27666667,-8.377142857,7.372054795,1.673888889,15.496,10.48222222,19.33567568,18.71320755,36.62205479,34.51310811,37.03027397,46.6242029,59.75875,47.81388889,76.33918919,76.09414286,66.06784314,46.89081081,81.55837838,94.70486486,92.79,74.70756757,88.90142857,79.97285714
Atlantic Ocean,,-12.31,-18.15117647,-14.66,-7.892258065,-6.821764706,-4.066060606,0.8096969697,-2.917575758,-1.501176471,3.408571429,4.932957746,15.31506849,14.20916667,18.12430769,19.17722222,18.59081081,22.58185185,25.75094595,27.06445946,26.73,34.43869565,35.53982143,37.59666667,45.71918919,49.254,54.03235294,60.15486486,68.72783784,67.12594595,73.13608108,73.06040541,80.10928571,75.49571429
Baltic Sea,,216.55,-36.81470588,-12.33235294,25.759375,-108.3621212,-1.774242424,34.20454545,-7.334848485,31.44117647,-6.697222222,-6.338571429,-6.031917808,41.44194444,43.89030769,-0.74,121.6694595,72.38924528,-4.504383562,-45.88391892,71.0709589,100.5571014,-32.63732143,-13.00666667,143.3383784,56.30171429,119.694902,34.97297297,80.68918919,176.4548649,71.86905405,126.6823288,122.545,191.64
Bay Bengal,,0.78,-9.378823529,-20.29352941,1.808125,4.269393939,-26.20939394,-9.927575758,-4.909393939,12.48588235,2.832777778,-6.708571429,1.671643836,4.979166667,18.57676923,0.5388888889,-3.393243243,38.56622642,27.35680556,52.83905405,49.40054795,46.18898551,62.95339286,44.90888889,66.62,99.70528571,62.37941176,48.37486486,46.02081081,87.05675676,128.0655405,105.6950685,57.57214286,17.61142857
Bering Sea,,-25.09,-8.007647059,-9.834117647,16.14548387,35.70117647,52.65848485,12.93424242,-25.54151515,-30.34882353,-39.05111111,-19.29214286,5.295342466,-3.81875,-2.055692308,3.608333333,-3.024324324,9.485555556,12.75863014,6.086216216,12.11890411,8.733043478,9.115714286,46.04277778,63.99135135,65.65628571,49.16666667,57.70918919,48.99567568,52.17108108,37.19337838,55.90824324,60.64357143,40.46428571
Caribbean Sea,,-3.73,-11.36823529,6.240588235,-2.842903226,-17.17705882,-3.763333333,-1.775454545,-7.508787879,-19.61235294,12.01857143,23.06929577,45.18739726,7.151527778,0.168,4.060555556,18.32054054,27.02148148,-1.111643836,25.77465753,16.16391892,36.31927536,26.50690909,55.07756757,73.44243243,73.21657143,39.42254902,57.31648649,84.36783784,80.73405405,70.99418919,93.4690411,101.3378571,59.62142857
Gulf Mexico,,-7.37,-7.881764706,-15.62294118,-0.979375,-31.78363636,-14.21393939,-5.138181818,15.33757576,8.515294118,-0.4116666667,21.59142857,21.76109589,16.16222222,25.16646154,2.578888889,21.78324324,42.49320755,45.26506849,8.168783784,18.0609589,62.07666667,32.09946429,51.78,80.26783784,98.06157143,74.3945098,79.35945946,108.8783784,110.2291892,99.4372973,128.6254795,133.2557143,34.78285714
Indian Ocean,,-19.32,-19.00235294,-16.17882353,-10.15548387,-9.734705882,-5.538181818,2.931515152,-5.492727273,-3.858235294,3.357777778,5.297857143,8.220684932,8.337916667,10.69953846,19.24833333,23.20891892,30.30666667,29.29608108,39.65148649,36.56328767,45.61246377,45.27482143,46.03444444,56.09135135,47.808,51.53294118,52.16,62.37891892,65.4127027,63.42959459,73.04581081,77.90214286,87.90571429
